alpha_g,alpha_l,rho_wood,c_wood_mm_per_microsecond
4.9612974697300970e-04,9.9950387025302700e-01,1.3678880117898500e+03,4.3198294366139883e-01
5.0297374216814463e-04,9.9949702625783188e-01,1.3678786533899429e+03,4.2935276113402554e-01
5.0986212119692178e-04,9.9949013787880303e-01,1.3678692343000944e+03,4.2675348154658316e-01
5.1679481607382061e-04,9.9948320518392619e-01,1.3678597546132680e+03,4.2418460619835208e-01
5.2377175837594160e-04,9.9947622824162408e-01,1.3678502144230235e+03,4.2164564609047733e-01
5.3079287924368110e-04,9.9946920712075626e-01,1.3678406138235193e+03,4.1913612172493742e-01
5.3785810938141050e-04,9.9946214189061855e-01,1.3678309529095093e+03,4.1665556290698785e-01
5.4496737905816055e-04,9.9945503262094182e-01,1.3678212317763428e+03,4.1420350855109606e-01
5.5212061810830989e-04,9.9944787938189172e-01,1.3678114505199635e+03,4.1177950649038292e-01
5.5931775593227710e-04,9.9944068224406768e-01,1.3678016092369080e+03,4.0938311328957128e-01
5.6655872149721732e-04,9.9943344127850275e-01,1.3677917080243064e+03,4.0701389406144028e-01
5.7384344333772372e-04,9.9942615655666223e-01,1.3677817469798795e+03,4.0467142228677483e-01
5.8117184955653266e-04,9.9941882815044347e-01,1.3677717262019389e+03,4.0235527963779566e-01
5.8854386782523362e-04,9.9941145613217475e-01,1.3677616457893851e+03,4.0006505580504897e-01
5.9595942538498209e-04,9.9940404057461507e-01,1.3677515058417084e+03,3.9780034832773109e-01
6.0341844904721889e-04,9.9939658155095279e-01,1.3677413064589855e+03,3.9556076242741922e-01
6.1092086519439154e-04,9.9938907913480557e-01,1.3677310477418803e+03,3.9334591084517628e-01
6.1846659978068207e-04,9.9938153340021929e-01,1.3677207297916423e+03,3.9115541368199180e-01
6.2605557833273601e-04,9.9937394442166727e-01,1.3677103527101056e+03,3.8898889824252414e-01
6.3368772595039926e-04,9.9936631227404960e-01,1.3676999165996876e+03,3.8684599888209986e-01
6.4136296730745563e-04,9.9935863703269256e-01,1.3676894215633884e+03,3.8472635685692791e-01
6.4908122665237160e-04,9.9935091877334759e-01,1.3676788677047900e+03,3.8262962017748425e-01
6.5684242780904398e-04,9.9934315757219094e-01,1.3676682551280546e+03,3.8055544346502035e-01
6.6464649417754987e-04,9.9933535350582248e-01,1.3676575839379243e+03,3.7850348781114684e-01
6.7249334873490502e-04,9.9932750665126513e-01,1.3676468542397192e+03,3.7647342064044409e-01
6.8038291403582369e-04,9.9931961708596417e-01,1.3676360661393371e+03,3.7446491557604872e-01
6.8831511221348004e-04,9.9931168488778654e-01,1.3676252197432520e+03,3.7247765230816821e-01
6.9628986498028185e-04,9.9930371013501973e-01,1.3676143151585138e+03,3.7051131646546726e-01
7.0430709362863831e-04,9.9929569290637132e-01,1.3676033524927464e+03,3.6856559948928075e-01
7.1236671903173896e-04,9.9928763328096826e-01,1.3675923318541463e+03,3.6664019851059604e-01
7.2046866164433507e-04,9.9927953133835568e-01,1.3675812533514836e+03,3.6473481622975523e-01
7.2861284150352421e-04,9.9927138715849650e-01,1.3675701170940981e+03,3.6284916079882529e-01
7.3679917822953855e-04,9.9926320082177045e-01,1.3675589231919002e+03,3.6098294570658351e-01
7.4502759102654031e-04,9.9925497240897343e-01,1.3675476717553693e+03,3.5913588966606630e-01
7.5329799868341710e-04,9.9924670200131660e-01,1.3675363628955524e+03,3.5730771650463128e-01
7.6161031957458383e-04,9.9923838968042544e-01,1.3675249967240634e+03,3.5549815505647964e-01
7.6996447166078903e-04,9.9923003552833922e-01,1.3675135733530822e+03,3.5370693905758926e-01
7.7836037248992461e-04,9.9922163962751009e-01,1.3675020928953525e+03,3.5193380704300792e-01
7.8679793919783864e-04,9.9921320206080211e-01,1.3674905554641816e+03,3.5017850224645652e-01
7.9527708850915427e-04,9.9920472291149087e-01,1.3674789611734398e+03,3.4844077250219396e-01
8.0379773673809162e-04,9.9919620226326189e-01,1.3674673101375579e+03,3.4672037014909357e-01
8.1235979978929124e-04,9.9918764020021067e-01,1.3674556024715264e+03,3.4501705193688526e-01
8.2096319315864866e-04,9.9917903680684139e-01,1.3674438382908961e+03,3.4333057893451269e-01
8.2960783193414375e-04,9.9917039216806580e-01,1.3674320177117741e+03,3.4166071644056334e-01
8.3829363079668262e-04,9.9916170636920332e-01,1.3674201408508250e+03,3.4000723389572052e-01
8.4702050402093662e-04,9.9915297949597903e-01,1.3674082078252684e+03,3.3836990479719725e-01
8.5578836547619056e-04,9.9914421163452383e-01,1.3673962187528787e+03,3.3674850661510264e-01
8.6459712862719086e-04,9.9913540287137281e-01,1.3673841737519831e+03,3.3514282071070073e-01
8.7344670653500211e-04,9.9912655329346500e-01,1.3673720729414606e+03,3.3355263225651699e-01
8.8233701185786275e-04,9.9911766298814209e-01,1.3673599164407419e+03,3.3197773015825116e-01
8.9126795685204872e-04,9.9910873204314798e-01,1.3673477043698067e+03,3.3041790697845447e-01
9.0023945337273817e-04,9.9909976054662730e-01,1.3673354368491828e+03,3.2887295886193130e-01
9.0925141287488242e-04,9.9909074858712510e-01,1.3673231139999455e+03,3.2734268546282447e-01
9.1830374641408037e-04,9.9908169625358589e-01,1.3673107359437170e+03,3.2582688987334651e-01
9.2739636464745311e-04,9.9907260363535255e-01,1.3672983028026633e+03,3.2432537855411786e-01
9.3652917783453027e-04,9.9906347082216551e-01,1.3672858146994947e+03,3.2283796126607417e-01
9.4570209583813298e-04,9.9905429790416189e-01,1.3672732717574636e+03,3.2136445100390715e-01
