alpha_g,alpha_l,rho_wood,c_wood
3.6867124490466641e-02,9.6313287550953341e-01,1.3181547340582802e+03,5.4025752549940876e+01
3.7461396582770978e-02,9.6253860341722897e-01,1.3173421332695709e+03,5.3612742229925246e+01
3.8060233744356631e-02,9.6193976625564337e-01,1.3165232902579030e+03,5.3206513450669831e+01
3.8663630064942556e-02,9.6133636993505744e-01,1.3156982131049258e+03,5.2806905565350220e+01
3.9271579589250760e-02,9.6072842041074924e-01,1.3148669099538181e+03,5.2413762970278789e+01
3.9884076317064809e-02,9.6011592368293519e-01,1.3140293890092057e+03,5.2026934908820230e+01
4.0501114203289335e-02,9.5949888579671061e-01,1.3131856585370831e+03,5.1646275284378653e+01
4.1122687158009430e-02,9.5887731284199051e-01,1.3123357268647287e+03,5.1271642481971654e+01
4.1748789046550994e-02,9.5825121095344901e-01,1.3114796023806255e+03,5.0902899197934332e+01
4.2379413689541234e-02,9.5762058631045877e-01,1.3106172935343759e+03,5.0539912277325335e+01
4.3014554862969401e-02,9.5698544513703054e-01,1.3097488088366206e+03,5.0182552558631691e+01
4.3654206298248621e-02,9.5634579370175143e-01,1.3088741568589530e+03,4.9830694725392753e+01
4.4298361682277354e-02,9.5570163831772259e-01,1.3079933462338349e+03,4.9484217164387509e+01
4.4947014657502171e-02,9.5505298534249783e-01,1.3071063856545113e+03,4.9143001830048121e+01
4.5600158821979930e-02,9.5439984117802013e-01,1.3062132838749253e+03,4.8806934114784468e+01
4.6257787729441557e-02,9.5374221227055844e-01,1.3053140497096306e+03,4.8475902724920203e+01
4.6919894889355107e-02,9.5308010511064489e-01,1.3044086920337058e+03,4.8149799561960421e+01
4.7586473766990267e-02,9.5241352623300979e-01,1.3034972197826658e+03,4.7828519608924736e+01
4.8257517783482584e-02,9.5174248221651747e-01,1.3025796419523729e+03,4.7511960821496224e+01
4.8933020315898579e-02,9.5106697968410137e-01,1.3016559675989506e+03,4.7200024023749648e+01
4.9612974697300971e-02,9.5038702530269903e-01,1.3007262058386916e+03,4.6892612808236152e+01
5.0297374216814461e-02,9.4970262578318554e-01,1.2997903658479690e+03,4.6589633440213532e+01
5.0986212119692176e-02,9.4901378788030777e-01,1.2988484568631461e+03,4.6290994765822887e+01
5.1679481607382061e-02,9.4832051839261799e-01,1.2979004881804840e+03,4.5996608124023560e+01
5.2377175837594159e-02,9.4762282416240584e-01,1.2969464691560509e+03,4.5706387262107917e+01
5.3079287924368113e-02,9.4692071207563189e-01,1.2959864092056291e+03,4.5420248254627694e+01
5.3785810938141054e-02,9.4621418906185895e-01,1.2950203178046233e+03,4.5138109425572246e+01
5.4496737905816051e-02,9.4550326209418389e-01,1.2940482044879654e+03,4.4859891273647627e+01
5.5212061810830992e-02,9.4478793818916906e-01,1.2930700788500217e+03,4.4585516400513356e+01
5.5931775593227706e-02,9.4406822440677229e-01,1.2920859505444964e+03,4.4314909441841429e+01
5.6655872149721731e-02,9.4334412785027832e-01,1.2910958292843393e+03,4.4047997001068758e+01
5.7384344333772375e-02,9.4261565566622763e-01,1.2900997248416477e+03,4.3784707585721272e+01
5.8117184955653267e-02,9.4188281504434679e-01,1.2890976470475698e+03,4.3524971546194095e+01
5.8854386782523360e-02,9.4114561321747670e-01,1.2880896057922091e+03,4.3268721016877834e+01
5.9595942538498203e-02,9.4040405746150180e-01,1.2870756110245256e+03,4.3015889859527050e+01
6.0341844904721886e-02,9.3965815509527806e-01,1.2860556727522385e+03,4.2766413608771721e+01
6.1092086519439148e-02,9.3890791348056091e-01,1.2850298010417273e+03,4.2520229419678017e+01
6.1846659978068208e-02,9.3815334002193174e-01,1.2839980060179303e+03,4.2277276017268775e+01
6.2605557833273595e-02,9.3739444216672640e-01,1.2829602978642490e+03,4.2037493647919071e+01
6.3368772595039924e-02,9.3663122740496008e-01,1.2819166868224436e+03,4.1800824032545940e+01
6.4136296730745557e-02,9.3586370326925450e-01,1.2808671831925337e+03,4.1567210321515780e+01
6.4908122665237156e-02,9.3509187733476284e-01,1.2798117973326964e+03,4.1336597051195987e+01
6.5684242780904400e-02,9.3431575721909566e-01,1.2787505396591641e+03,4.1108930102081743e+01
6.6464649417754984e-02,9.3353535058224502e-01,1.2776834206461217e+03,4.0884156658431571e+01
6.7249334873490496e-02,9.3275066512650950e-01,1.2766104508256028e+03,4.0662225169348574e+01
6.8038291403582363e-02,9.3196170859641758e-01,1.2755316407873863e+03,4.0443085311247486e+01
6.8831511221348007e-02,9.3116848877865199e-01,1.2744470011788924e+03,4.0226687951650348e+01
6.9628986498028178e-02,9.3037101350197182e-01,1.2733565427050753e+03,4.0012985114256068e+01
7.0430709362863830e-02,9.2956929063713623e-01,1.2722602761283204e+03,3.9801929945232196e+01
7.1236671903173898e-02,9.2876332809682616e-01,1.2711582122683362e+03,3.9593476680679196e+01
7.2046866164433510e-02,9.2795313383556643e-01,1.2700503620020477e+03,3.9387580615219747e+01
7.2861284150352423e-02,9.2713871584964758e-01,1.2689367362634905e+03,3.9184198071668384e+01
7.3679917822953855e-02,9.2632008217704609e-01,1.2678173460437001e+03,3.8983286371738110e+01
7.4502759102654026e-02,9.2549724089734597e-01,1.2666922023906072e+03,3.8784803807742804e+01
7.5329799868341707e-02,9.2467020013165824e-01,1.2655613164089243e+03,3.8588709615256519e+01
7.6161031957458381e-02,9.2383896804254162e-01,1.2644246992600401e+03,3.8394963946691774e+01
7.6996447166078896e-02,9.2300355283392110e-01,1.2632823621619068e+03,3.8203527845761251e+01
7.7836037248992462e-02,9.2216396275100754e-01,1.2621343163889305e+03,3.8014363222788560e+01
7.8679793919783858e-02,9.2132020608021614e-01,1.2609805732718594e+03,3.7827432830835406e+01
7.9527708850915424e-02,9.2047229114908458e-01,1.2598211441976725e+03,3.7642700242613742e+01
8.0379773673809163e-02,9.1962022632619078e-01,1.2586560406094661e+03,3.7460129828153057e+01
8.1235979978929118e-02,9.1876402002107094e-01,1.2574852740063429e+03,3.7279686733194218e+01
8.2096319315864863e-02,9.1790368068413519e-01,1.2563088559432965e+03,3.7101336858282160e+01
8.2960783193414378e-02,9.1703921680658562e-01,1.2551267980310977e+03,3.6925046838531728e+01
8.3829363079668262e-02,9.1617063692033174e-01,1.2539391119361815e+03,3.6750784024040904e+01
8.4702050402093665e-02,9.1529794959790634e-01,1.2527458093805301e+03,3.6578516460927936e+01
8.5578836547619053e-02,9.1442116345238089e-01,1.2515469021415574e+03,3.6408212872969074e+01
8.6459712862719085e-02,9.1354028713728086e-01,1.2503424020519942e+03,3.6239842643814754e+01
8.7344670653500212e-02,9.1265532934649984e-01,1.2491323209997706e+03,3.6073375799763276e+01
8.8233701185786273e-02,9.1176629881421367e-01,1.2479166709278975e+03,3.5908782993071789e+01
8.9126795685204874e-02,9.1087320431479513e-01,1.2466954638343500e+03,3.5746035485784709e+01
9.0023945337273814e-02,9.0997605466272624e-01,1.2454687117719502e+03,3.5585105134061500e+01
9.0925141287488243e-02,9.0907485871251170e-01,1.2442364268482443e+03,3.5425964372985575e+01
9.1830374641408030e-02,9.0816962535859203e-01,1.2429986212253882e+03,3.5268586201837209e+01
9.2739636464745312e-02,9.0726036353525474e-01,1.2417553071200230e+03,3.5112944169814355e+01
9.3652917783453027e-02,9.0634708221654692e-01,1.2405064968031572e+03,3.4959012362184957e+01
9.4570209583813292e-02,9.0542979041618676e-01,1.2392522026000445e+03,3.4806765386856299e+01
9.5491502812526274e-02,9.0450849718747373e-01,1.2379924368900622e+03,3.4656178361346292e+01
9.6416788376799845e-02,9.0358321162320010e-01,1.2367272121065894e+03,3.4507226900143067e+01
9.7346057144439058e-02,9.0265394285556089e-01,1.2354565407368837e+03,3.4359887102439274e+01
9.8279299943936194e-02,9.0172070005606386e-01,1.2341804353219588e+03,3.4214135540228355e+01
9.9216507564561685e-02,9.0078349243543832e-01,1.2328989084564596e+03,3.4069949246750170e+01
1.0015767075645471e-01,8.9984232924354535e-01,1.2316119727885396e+03,3.3927305705274293e+01
1.0110278023071451e-01,8.9889721976928549e-01,1.2303196410197331e+03,3.3786182838209520e+01
1.0205182665949208e-01,8.9794817334050792e-01,1.2290219259048340e+03,3.3646558996528356e+01
1.0300480067608236e-01,8.9699519932391758e-01,1.2277188402517659e+03,3.3508412949496218e+01
1.0396169287501650e-01,8.9603830712498356e-01,1.2264103969214589e+03,3.3371723874694922e+01
1.0492249381215479e-01,8.9507750618784521e-01,1.2250966088277196e+03,3.3236471348330838e+01
1.0588719400477997e-01,8.9411280599522003e-01,1.2237774889371067e+03,3.3102635335818135e+01
1.0685578393169054e-01,8.9314421606830940e-01,1.2224530502688003e+03,3.2970196182628264e+01
1.0782825403329499e-01,8.9217174596670501e-01,1.2211233058944761e+03,3.2839134605396694e+01
1.0880459471170595e-01,8.9119540528829400e-01,1.2197882689381736e+03,3.2709431683278730e+01
1.0978479633083510e-01,8.9021520366916485e-01,1.2184479525761692e+03,3.2581068849546178e+01
1.1076884921648827e-01,8.8923115078351178e-01,1.2171023700368439e+03,3.2454027883417140e+01
1.1175674365646071e-01,8.8824325634353929e-01,1.2157515346005539e+03,3.2328290902111419e+01
1.1274846990063309e-01,8.8725153009936686e-01,1.2143954595994999e+03,3.2203840353124292e+01
1.1374401816106777e-01,8.8625598183893217e-01,1.2130341584175951e+03,3.2080659006711691e+01
1.1474337861210537e-01,8.8525662138789463e-01,1.2116676444903317e+03,3.1958729948580132e+01
1.1574654139046170e-01,8.8425345860953830e-01,1.2102959313046513e+03,3.1838036572774772e+01
1.1675349659532508e-01,8.8324650340467492e-01,1.2089190323988087e+03,3.1718562574759609e+01
1.1776423428845423e-01,8.8223576571154583e-01,1.2075369613622406e+03,3.1600291944683534e+01
1.1877874449427606e-01,8.8122125550572394e-01,1.2061497318354300e+03,3.1483208960826641e+01
1.1979701719998453e-01,8.8020298280001552e-01,1.2047573575097722e+03,3.1367298183221074e+01
1.2081904235563906e-01,8.7918095764436099e-01,1.2033598521274396e+03,3.1252544447441132e+01
1.2184480987426405e-01,8.7815519012573595e-01,1.2019572294812465e+03,3.1138932858557279e+01
1.2287430963194812e-01,8.7712569036805188e-01,1.2005495034145117e+03,3.1026448785249222e+01
1.2390753146794425e-01,8.7609246853205569e-01,1.1991366878209235e+03,3.0915077854072994e+01
1.2494446518477020e-01,8.7505553481522980e-01,1.1977187966444012e+03,3.0804805943877511e+01
1.2598510054830875e-01,8.7401489945169120e-01,1.1962958438789585e+03,3.0695619180366091e+01
1.2702942728790895e-01,8.7297057271209111e-01,1.1948678435685647e+03,3.0587503930798469e+01
1.2807743509648745e-01,8.7192256490351250e-01,1.1934348098070063e+03,3.0480446798829160e+01
1.2912911363063040e-01,8.7087088636936960e-01,1.1919967567377480e+03,3.0374434619478084e+01
1.3018445251069516e-01,8.6981554748930479e-01,1.1905536985537929e+03,3.0269454454229564e+01
1.3124344132091303e-01,8.6875655867908697e-01,1.1891056494975430e+03,3.0165493586255824e+01
1.3230606960949209e-01,8.6769393039050791e-01,1.1876526238606575e+03,3.0062539515761351e+01
1.3337232688871997e-01,8.6662767311128008e-01,1.1861946359839130e+03,2.9960579955444633e+01
1.3444220263506795e-01,8.6555779736493199e-01,1.1847317002570612e+03,2.9859602826073658e+01
1.3551568628929422e-01,8.6448431371070578e-01,1.1832638311186872e+03,2.9759596252172198e+01
1.3659276725654856e-01,8.6340723274345144e-01,1.1817910430560669e+03,2.9660548557813225e+01
1.3767343490647665e-01,8.6232656509352335e-01,1.1803133506050235e+03,2.9562448262516781e+01
1.3875767857332511e-01,8.6124232142667489e-01,1.1788307683497851e+03,2.9465284077249034e+01
1.3984548755604653e-01,8.6015451244395347e-01,1.1773433109228404e+03,2.9369044900519725e+01
1.4093685111840554e-01,8.5906314888159452e-01,1.1758509930047933e+03,2.9273719814575184e+01
1.4203175848908439e-01,8.5796824151091555e-01,1.1743538293242189e+03,2.9179298081684209e+01
1.4313019886178935e-01,8.5686980113821065e-01,1.1728518346575188e+03,2.9085769140514174e+01
1.4423216139535733e-01,8.5576783860464267e-01,1.1713450238287739e+03,2.8993122602594806e+01
1.4533763521386300e-01,8.5466236478613700e-01,1.1698334117095987e+03,2.8901348248867230e+01
1.4644660940672621e-01,8.5355339059327373e-01,1.1683170132189946e+03,2.8810436026315784e+01
1.4755907302881932e-01,8.5244092697118068e-01,1.1667958433232020e+03,2.8720376044680496e+01
