timestep,min_pres,x,y,z
164,23518.4,0.111563,0.462188,
165,11196.4,0.119063,0.454688,
166,-2806.1,0.130313,0.450938,
167,-16098.2,0.141563,0.447188,
168,-32595.0,0.150938,0.443438,
169,-48513.9,0.160313,0.435938,
170,-64385.3,0.169688,0.430313,
171,-82474.0,0.179063,0.422813,
172,-100378.0,0.188438,0.417188,
173,-120301.0,0.195938,0.409688,
174,-140295.0,0.205313,0.402188,
175,-158062.0,0.212813,0.394688,
176,-180839.0,0.222188,0.387188,
177,-202302.0,0.229688,0.379688,
178,-225545.0,0.237188,0.370313,
179,-249707.0,0.242813,0.360938,
180,-272442.0,0.252188,0.353438,
181,-297375.0,0.257813,0.344063,
182,-324892.0,0.263438,0.334688,
183,-350985.0,0.269063,0.325312,
184,-380581.0,0.278438,0.317812,
185,-411986.0,0.282188,0.306562,
186,-438225.0,0.285938,0.295312,
187,-473114.0,0.293438,0.287812,
188,-510469.0,0.297188,0.276562,
189,-546642.0,0.299063,0.265312,
190,-588118.0,0.304688,0.255937,
191,-629194.0,0.308438,0.244687,
192,-671137.0,0.310313,0.233437,
193,-717564.0,0.312188,0.222187,
194,-770628.0,0.314063,0.210937,
195,-821326.0,0.315938,0.199687,
196,-872412.0,0.317813,0.188437,
197,-937680.0,0.319688,0.177187,
198,-997420.0,0.319688,0.165937,
199,-1067050.0,0.317813,0.154687,
200,-1144900.0,0.319688,0.143437,
201,-1219010.0,0.317813,0.132188,
202,-1313120.0,0.315938,0.119063,
203,-1412910.0,0.314063,0.107813,
204,-1522960.0,0.312188,0.0965625,
205,-1642130.0,0.308438,0.0853125,
206,-1778790.0,0.304688,0.0740625,
207,-1939750.0,0.299063,0.0646875,
208,-2150120.0,0.295313,0.0534375,
209,-2400150.0,0.291563,0.0421875,
210,-2725650.0,0.284063,0.0309375,
211,-3198350.0,0.278438,0.0196875,
212,-4226700.0,0.282188,0.0009375,
213,-5889060.0,0.257813,0.0009375,
214,-5850080.0,0.239063,0.0009375,
215,-5113910.0,0.224063,0.0009375,
216,-4260280.0,0.210938,0.0009375,
217,-3431430.0,0.197813,0.0009375,
218,-2672230.0,0.184688,0.0009375,
219,-2030070.0,0.173438,0.0009375,
220,-1562170.0,0.160313,0.0009375,
221,-1226600.0,0.150938,0.0009375,
222,-990569.0,0.137813,0.0009375,
223,-721241.0,0.128438,0.0121875,
224,-580514.0,0.117188,0.0009375,
225,-1560190.0,0.477188,0.0009375,
226,-1486310.0,0.465938,0.0009375,
227,-746563.0,0.460313,0.0159375,
228,-532066.0,0.458438,0.0290625,
229,-429704.0,0.456563,0.0421875,
230,-356700.0,0.454688,0.0534375,
231,-310149.0,0.449063,0.0628125,
232,-278101.0,0.447188,0.0740625,
233,-256600.0,0.445313,0.0853125,
234,-234100.0,0.441563,0.0965625,
235,-233067.0,0.437813,0.105938,
236,-211622.0,0.432188,0.115313,
237,-206001.0,0.428438,0.126563,
238,-217197.0,0.430313,0.137813,
239,-201526.0,0.420938,0.147187,
240,-194075.0,0.415313,0.156562,
241,-197203.0,0.411563,0.167812,
242,-197828.0,0.404063,0.177187,
243,-199002.0,0.396563,0.186562,
244,-203551.0,0.389063,0.195937,
245,-201175.0,0.383438,0.205312,
246,-198672.0,0.374063,0.214687,
247,-193898.0,0.368438,0.224062,
248,-187772.0,0.359063,0.231562,
249,-186209.0,0.351563,0.240937,
250,-183772.0,0.344063,0.250312,
251,-182250.0,0.336563,0.257812,
252,-176538.0,0.329063,0.265312,
253,-171463.0,0.317813,0.272812,
254,-165986.0,0.310313,0.280312,
