timestep,max_alpha_rho2,x,y,z
223,0.000569992,0.265313,0.0009375,
224,0.000572265,0.265313,0.0009375,
225,0.000539094,0.263438,0.0009375,
226,0.000507608,0.261563,0.0009375,
227,0.000514682,0.248438,0.0009375,
228,0.000533636,0.248438,0.0009375,
229,0.000541265,0.248438,0.0009375,
230,0.000537418,0.248438,0.0009375,
231,0.000509145,0.248438,0.0009375,
232,0.000458758,0.244688,0.0009375,
233,0.000427063,0.229688,0.0009375,
234,0.000386364,0.229688,0.0009375,
235,0.000265693,0.229688,0.0009375,
236,0.00027227,0.452813,0.0009375,
237,0.000288483,0.452813,0.0009375,
238,0.000302391,0.452813,0.0009375,
239,0.000315468,0.452813,0.0009375,
240,0.000326213,0.452813,0.0009375,
241,0.000335346,0.452813,0.0009375,
242,0.000343458,0.452813,0.0009375,
243,0.000349977,0.452813,0.0009375,
244,0.000355568,0.452813,0.0009375,
245,0.000360461,0.452813,0.0009375,
246,0.000363885,0.452813,0.0009375,
247,0.000366031,0.452813,0.0009375,
248,0.000367095,0.452813,0.0009375,
249,0.000367078,0.452813,0.0009375,
250,0.000365841,0.452813,0.0009375,
251,0.000363012,0.452813,0.0009375,
252,0.000358554,0.452813,0.0009375,
253,0.000351973,0.452813,0.0009375,
254,0.000342502,0.450938,0.0009375,
255,0.000330801,0.450938,0.0009375,
256,0.000314442,0.450938,0.0009375,
257,0.000289733,0.450938,0.0009375,
258,0.000252803,0.452813,0.0009375,
259,0.000193954,0.452813,0.0009375,
260,7.41791e-05,0.452813,0.0009375,
261,8.87695e-09,0.218438,0.0365625,
262,8.85691e-09,0.218438,0.0365625,
263,7.70276e-09,0.224063,0.0646875,
264,7.68338e-09,0.224063,0.0646875,
265,7.66448e-09,0.224063,0.0646875,
266,7.64511e-09,0.224063,0.0646875,
267,7.6271e-09,0.224063,0.0646875,
268,7.60932e-09,0.224063,0.0646875,
269,7.59082e-09,0.224063,0.0646875,
270,7.57327e-09,0.224063,0.0646875,
271,7.55551e-09,0.224063,0.0646875,
272,7.53645e-09,0.224063,0.0646875,
273,7.51813e-09,0.224063,0.0646875,
274,7.49897e-09,0.224063,0.0646875,
